INVOICE_NO,CHIPSET / ASP,CPU / MPU,DISCRETE,LINEAR IC,LOGIC IC,MEMORY_EMBEDED,MEMORY_SYSTEM,OPTICAL AND SENSOR,OTHERS,PEMCO
216071823,0.0,0.0,0.0,24000.0,24000.0,0.0,0.0,0.0,0.0,0.0
216071833,490.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071860,0.0,0.0,230000.0,112000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071865,0.0,0.0,6000.0,180000.0,0.0,0.0,0.0,0.0,0.0,0.0
216071868,0.0,0.0,174000.0,0.0,0.0,0.0,0.0,120000.0,0.0,0.0
216071882,0.0,0.0,240000.0,0.0,0.0,0.0,0.0,87400.0,0.0,0.0
216071910,0.0,0.0,0.0,3450000.0,93000.0,0.0,0.0,0.0,0.0,0.0
216071915,1000.0,0.0,11500.0,148000.0,59000.0,0.0,0.0,0.0,0.0,0.0
216071921,0.0,0.0,0.0,3780.0,0.0,5000.0,0.0,0.0,0.0,0.0
216071932,0.0,0.0,0.0,225000.0,200000.0,0.0,0.0,0.0,0.0,0.0
216071936,0.0,0.0,3000.0,44000.0,33000.0,0.0,0.0,0.0,0.0,0.0
216071941,450.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216071967,0.0,0.0,86000.0,0.0,0.0,0.0,0.0,3000.0,0.0,0.0
216071977,0.0,0.0,30000.0,25500.0,0.0,0.0,0.0,0.0,0.0,0.0
216071981,0.0,0.0,0.0,15000.0,18000.0,0.0,0.0,0.0,0.0,0.0
216071982,0.0,0.0,5000.0,14750.0,0.0,10000.0,0.0,0.0,0.0,0.0
216071986,0.0,0.0,9000.0,0.0,6000.0,0.0,0.0,0.0,0.0,0.0
216071987,0.0,0.0,0.0,215500.0,122500.0,0.0,0.0,0.0,0.0,0.0
216071991,0.0,0.0,0.0,34500.0,66000.0,0.0,0.0,0.0,0.0,0.0
216072001,0.0,0.0,231000.0,0.0,24000.0,0.0,0.0,1000.0,0.0,0.0
216072002,0.0,0.0,359500.0,10000.0,0.0,0.0,0.0,0.0,0.0,0.0
216072003,0.0,0.0,1641000.0,18000.0,0.0,0.0,0.0,0.0,0.0,0.0
216072006,0.0,0.0,741920.0,0.0,0.0,0.0,0.0,27160.0,0.0,0.0
216072007,0.0,0.0,565000.0,0.0,0.0,5000.0,0.0,0.0,0.0,0.0
216072018,30.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216072021,0.0,0.0,0.0,444000.0,36000.0,0.0,0.0,0.0,0.0,0.0
216072028,0.0,0.0,51791.0,0.0,22286.0,0.0,0.0,286180.0,428.0,0.0
